,id,name,brand,base_name,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,cpu,cpu_details,detachable_keyboard,discrete_gpu,gpu,os,os_details,ram,ssd,storage,weight,min_price,max_price
34,26138,"Lenovo Built Business Laptop PC 17.3"" HD+ Display Intel i5-7200U Processor 8GB DDR4 RAM 1TB HDD DVD-RW 802.11AC WIFI HDMI Bluetooth Webcam Windows 10-Gray",Lenovo,Lenovo IdeaPad 320,17.3,1600,900,Matte,0,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10 Home,8,0,1000,6.17,693.0,693.0
243,17017,"Samsung Chromebook Pro Convertible Touch Screen Laptop, 12.3 (XE510C24-K01US)",Samsung,Samsung Chromebook Pro (XE510C24-K01US),12.3,2400,1600,Glossy,1,Intel Core m3,Intel Core m3-6Y30 0.9 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD 515,Chrome OS,Chrome OS,4,32,32,2.38,649.0,699.99
316,29201,"Acer Aspire 7 Casual Gaming Laptop, 15.6"" Full HD IPS Display, Intel 6-Core i7-8750H, NVIDIA GeForce GTX 1050Ti 4GB, 8GB DDR4, 128GB SSD + 1TB HDD, Fingerprint Reader, Windows 10 64bit, A715-72G-71CT",Acer,Acer Aspire 7 A715-72G,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1050 Ti,Windows,Windows 10 Home,8,128,1128,5.29,834.93,834.95
178,21895,"2018 Newest Premium Dell Inspiron 15.6"" HD LED-backlit Display Laptop PC Intel Celeron Dual-Core Processor 4GB RAM 500GB HDD WiFi HDMI DVD-RW Webcam Bluetooth MaxxAudio Windows 10-Black",Dell,Dell Inspiron,15.6,1366,768,Glossy,0,Intel Celeron,Intel Celeron (Dual-Core),0.0,0,Intel HD,Windows,Windows 10 Home,4,0,500,4.54,294.99,294.99
126,22743,"Dell XPS 9370 Laptop, 13.3"" UHD (3840 x 2160) InfinityEdge Touch Display, 8th Gen Intel Core i7-8550U, 16GB RAM, 512 GB SSD, Windows 10, Silver",Dell,Dell XPS 13 9370,13.3,3840,2160,Glossy,1,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,16,512,512,2.87,1499.99,1660.0
227,8682,Samsung Chromebook 3 XE500C13-K02US 4 GB RAM 16GB eMMC 11.6 Inch Laptop (Black),Samsung,Samsung Chromebook 3 XE500C13-K02US,11.6,1366,768,Matte,0,Intel Celeron,Intel Celeron N3050 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD,Chrome OS,Chrome OS,4,16,16,2.54,138.0,145.97
417,28332,"Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, 8th Gen Intel Core i3-8145U, 4GB DDR4, 128GB PCIe Nvme SSD, Backlit Keyboard, Windows 10 in S Mode, A515-54-30BQ",Acer,Acer Aspire 5 A515-54,15.6,1920,1080,Matte,0,Intel Core i3,Intel Core i3-8145U 2.1 GHz (8th gen Whiskey Lake Dual-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 S,4,128,128,3.97,379.99,379.99
135,30293,"ASUS ROG Strix Scar III G531GW-KB71 (i7-9750H, 16GB RAM, 1TB SSHD, RTX 2070 8GB, 15.6"" Full HD 240Hz 3ms, Windows 10) VR Ready Gaming Notebook",Asus,Asus ROG Strix Scar III G531GW,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce RTX 2070,Windows,Windows 10 Pro,16,0,1000,5.66,1849.99,1999.99
492,10944,"Lenovo N22 11.6-inch High Performance Laptop Notebook (2016 New Premium Edition) ( Intel Dual-Core Processor 1.60GHz, 4GB RAM, 64GB eMMC SSD,Windows 10 Pro)",Lenovo,Lenovo N22,11.6,1366,768,Matte,0,Intel Celeron,Intel Celeron N3050 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD,Windows,Windows 10,4,64,64,2.8,348.9,348.9
400,29843,"Prostar NH70RDQ 17.3 Inches FHD 144Hz, Intel i7-9750H, RTX 2060, 32GB 2666Mhz DDR4, 500GB NVMe SSD, 2TB SSHD, Windows 10 Home, Slim Bezel Gaming Laptop, 1-Year Warranty",Other,Prostar NH70RDQ,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce RTX 2060,Windows,Windows 10 Home,32,500,2500,5.9,1429.0,1499.0
145,21210,"ASUS S510UN-EH76 VivoBook S 15.6"" Full HD Laptop, Intel Core i7-8550U, NVIDIA GeForce MX150, 8GB RAM, 256GB SSD + 1TB HDD, Windows 10",Asus,Asus VivoBook S510UN,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce MX150,Windows,Windows 10 Home,8,256,1256,3.3,929.0,929.0
280,25589,"2018 Dell Inspiron 15 5000 Flagship Premium 15.6"" Full HD Touchscreen Backlit Keyboard Laptop, Intel Core i5-8250U Quad-Core, 12GB DDR4, 1TB HDD, DVD-RW, Bluetooth 4.2, Windows 10, Black",Dell,Dell Inspiron 5000,15.6,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Quad-Core Kaby Lake R with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10 Home,12,0,1000,4.8,616.0,629.0
35,20094,"Lenovo Ideapad 15.6"" HD High Performance Laptop, AMD A12-9720P Quad core processor 2.7GHz, 8GB DDR4, 1TB HDD, DVD, Webcam, WiFi,Bluetooth, Windows 10, Platinum gray",Lenovo,Lenovo IdeaPad,15.6,1366,768,Matte,0,AMD A12,AMD A12-9720P 2.7 GHz (7th gen Bristol Ridge Quad-Core),0.0,0,AMD Radeon R7,Windows,Windows 10 Home,8,0,1000,4.85,424.22,424.22
416,29411,"Microsoft Surface Book 2 (Intel Core i5, 8GB RAM, 128GB) - 13.5""",Microsoft,Microsoft Surface Book 2,13.5,3000,2000,Glossy,1,Intel Core i5,Intel Core i5-7300U 2.6 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),1.0,0,Intel HD 620,Windows,Windows 10 Pro,8,128,128,3.38,928.0,959.99
505,3897,"Dell Inspiron i3542-5000BK 15.6-Inch Multi-Touch Laptop 4th Generation Intel Core i3-4030U Processor 4GB DDR3, 500GB Hard Drive Integrated Graphics Windows 8.1",Dell,Dell Inspiron i3542-5000BK,15.6,1366,768,Glossy,1,Intel Core i3,Intel Core i3-4030U 1.9 GHz (4th gen Haswell Dual-Core with Hyper-Threading),0.0,0,Intel HD 4400,Windows,Windows 8.1,4,0,500,6.0,383.51,383.51
1,25926,"Razer Blade 15 Gaming Laptop: Intel Core i7-8750H 6 Core, NVIDIA GeForce RTX 2070 Max-Q | 15.6"" FHD 144Hz | 16GB RAM | 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3",Razer,Razer Blade 15,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce RTX 2070 Max-Q,Windows,Windows 10 Home,16,512,512,4.63,2099.99,2099.99
184,22374,"2018 Newest Premium High Performance RCA Cambio 10.1"" 2-in-1 Touchscreen Tablet PC Intel Quad-Core Processor 2GB RAM 32GB Hard Drive Webcam WiFi Microsoft Office Mobile Bluetooth Windows 10-Silver",RCA,RCA Cambio W101 V2,10.1,1280,800,Glossy,1,Intel Atom,Intel Atom Z3735F 1.33 GHz (Bay Trail Quad-Core),1.0,0,Intel HD,Windows,Windows 10 Home,2,32,32,,133.95,133.95
328,31197,"Prostar NH58RAQ 15.6 Inches FHD IPS, Intel i7-9750H, NVIDIA GTX 1650, 32GB 2666Mhz DDR4, 500GB NVMe SSD, 1TB SSD, Windows 10 Home, Slim Bezel Gaming Laptop, 1-Year Warranty",Other,Prostar NH58RAQ,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1650,Windows,Windows 10 Home,32,500,1500,4.85,1319.0,1319.0
460,27737,Samsung XE510C25-K01US Chromebook Pro 4GB Memory 32GB HDD Touchscreen with Backlit Keyboard,Samsung,Samsung Chromebook Pro,12.3,2400,1600,Glossy,1,Intel Core m3,Intel Core m3-6Y30 0.9 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD 515,Chrome OS,Chrome OS,4,32,32,2.4,444.44,489.99
89,23203,"HP ENVY x360 15.6 Inch FHD Touchscreen Laptop (AMD Quad-Core Ryzen 5 2500U, 8GB DDR4 RAM, 128GB SSD + 1TB HDD, Backlit Keyboard, B&O Speakers, HD Webcam, Windows 10)",HP,HP Envy x360,15.6,1920,1080,Glossy,1,AMD Ryzen 5,AMD Ryzen 5 2500U 2.0 GHz (Quad-Core with Simultaneous Multi-Threading),0.0,0,AMD Radeon Vega 8,Windows,Windows 10 Home,8,128,1128,4.49,749.0,749.0
270,24840,"ASUS ZenBook 13 Ultra-Slim Laptop 13.3"" FHD Display, Intel 8th gen Core i5-8250U, 8GB RAM, 256GB M.2 SSD, Win10, Backlit KB, FP, Icicle Gold, UX331UA-AS51",Asus,Asus ZenBook UX331UA,13.3,1920,1080,Matte,0,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Quad-Core Kaby Lake R with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,256,256,2.5,790.79,829.0
176,20738,"HP HP 745-G3 EliteBook 14in Notebook, Full-HD Display, AMD A8-8600B Quad-Core, 128GB Solid State Drive, 8GB DDR3, Backlit Keyboard, Bluetooth, 802.11n, Win10Pro (Renewed)",HP,HP EliteBook 745-G3,14.0,1920,1080,Matte,0,AMD A8,AMD PRO A8-8600B 1.6 GHz (6th gen Carrizo Quad-Core),0.0,0,AMD Radeon R6,Windows,Windows 10 Pro,8,128,128,3.41,499.67,499.67
309,18829,"ASUS VivoBook F510UA 15.6â€ Full HD Nanoedge Laptop, Intel Core i5-8250U Processor, 8GB DDR4 RAM, 1TB HDD, USB-C, Fingerprint, Windows 10 Home - F510UA-AH51, Star Gray",Asus,Asus VivoBook F510UA,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Quad-Core Kaby Lake R with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,0,1000,3.7,799.99,799.99
76,26135,"Alienware 17 R5 VR Ready 17.3"" LCD Gaming Notebook - Intel Core i7 (8th Gen) i7-8750H Hexa-core (6 Core) 2.20 GHz - 8 GB DDR4 SDRAM - 1 TB HDD - 256 GB SSD - Windows 10 Home 64-bit (English) - 19",Alienware,Alienware 17 R5,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1060,Windows,Windows 10 Home,8,256,1256,9.74,1699.0,1699.0
438,26102,Dell Inspiron 15.6â€ Touch Screen Intel Core i3 128GB Solid State Drive Laptop,Dell,Dell Inspiron 3567,15.6,1366,768,Glossy,1,Intel Core i3,Intel Core i3-7130U 2.7 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10 Home,8,128,128,5.07,313.0,358.0
445,8468,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3540 2.16 GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",HP,HP 15-f211wm,15.6,1366,768,Glossy,1,Intel Celeron,Intel Celeron N2840 2.16 GHz (Bay Trail Dual-Core),0.0,0,Intel HD,Windows,Windows 10,4,0,500,5.05,409.98,412.0
56,23115,"Alienware AW15R3-7376SLV-PUS 15.6"" Gaming Laptop (7th Generation Intel Core i7, 16GB RAM, 128SSD + 1 TB HDD, Silver) VR Ready with NVIDIA GTX 1070",Alienware,Alienware 15 R3,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-7700HQ 2.8 GHz (7th gen Kaby Lake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Home,16,128,1128,7.69,1491.79,1496.79
484,10371,"Lenovo Yoga 710 15.6-Inch 2-in-1 Convertible FHD Touchscreen Premium Laptop / Tablet (Intel Core i5-6200U 3M Cache 2.8GHz, 8GB DDR4 2133MHz RAM, 256GB SSD, HDMI, Backlit Keyboard, Windows 10)",Lenovo,Lenovo Yoga 710,15.6,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-6200U 2.3 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD 520,Windows,Windows 10,8,256,256,4.19,549.0,549.0
239,25440,Apple MacBook Air 13.3in LED Laptop Intel i5-5250U Dual Core 1.6GHz 4GB 128GB SSD Early 2015 - MJVE2LL/A (Renewed),Apple,Apple MacBook Air 2015,13.3,1440,900,Glossy,0,Intel Core i5,Intel Core i5-5250U 1.6 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),0.0,0,Intel HD 6000,macOS,OS X Yosemite,4,128,128,2.96,449.98,519.99
261,28639,"New Apple MacBook Air (13-inch, 8GB RAM, 128GB Storage) - Space Gray",Apple,Apple MacBook Air 2019,13.3,2560,1600,Glossy,0,Intel Core i5,Intel Core i5-8210Y 1.6 GHz (8th gen Amber Lake Y Dual-Core with Hyper-Threading),0.0,0,Intel UHD 617,macOS,macOS Mojave,8,128,128,2.75,899.99,999.99
294,29628,"Sager NP7856 15.6 Inches Thin Bezel FHD IPS 144Hz Gaming Laptop, Intel Core i7-9750H, RTX 2060 6GB DDR6, 16GB RAM, 500GB NVMe SSD + 1TB HDD, Windows 10 Home",Other,Sager NP7856,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce RTX 2060,Windows,Windows 10 Home,16,500,1500,5.0,1349.0,1349.0
342,3841,"ASUS X551MAV-RCLN06 Laptop (Windows 8, Intel Celeron N2830 2.16GHz, 15"" LCD Screen, Storage: 500 GB, RAM: 4 GB) Black",Asus,ASUS X551,15.6,1366,768,Glossy,0,Intel Celeron,Intel Celeron N2830 2.16 GHz (Bay Trail Dual-Core),0.0,0,Intel HD,Windows,Windows 8.1,4,0,500,4.7,349.0,349.0
386,7422,"HP 250 G3 15.6"" Notebook, Intel 4th Gen i3-4005U, 4GB RAM, 500GB HDD, Windows 8.1",HP,HP 250 G3,15.6,1366,768,Matte,0,Intel Core i3,Intel Core i3-3217U 1.8 GHz (3rd gen Ivy Bridge Dual-Core with Hyper-Threading),0.0,0,Intel HD,Windows,Windows 8.1,4,0,500,4.83,390.0,390.0
83,31421,"New Apple MacBook Pro (16-Inch, 16GB RAM, 1TB Storage, 2.3GHz Intel Core i9) - Space Gray",Apple,Apple MacBook Pro 2019,16.0,3072,1920,Glossy,0,Intel Core i9,Intel Core i9-9880H 2.3 GHz (9th gen Coffee Lake Octa-Core with Hyper-Threading),0.0,1,AMD Radeon Pro 5500M,macOS,macOS Catalina,16,1000,1000,4.3,2568.92,2652.49
427,20501,"Acer Chromebook 15 CB515-1HT-P39B, Pentium N4200, 15.6"" Full HD Touch, 4GB LPDDR4, 32GB Storage, Pure Silver",Acer,Acer Chromebook 15 CB515-1HT,15.6,1920,1080,Glossy,1,Intel Pentium,Intel Pentium N4200 1.1 GHz (Apollo Lake Quad-Core),0.0,0,Intel HD 505,Chrome OS,Chrome OS,4,32,32,4.3,322.0,325.12
150,8680,"Acer Chromebook 14, Aluminum, 14-inch Full HD, Intel Celeron N3160, 4GB LPDDR3, 32GB, Chrome, CB3-431-C5FM",Acer,Acer Chromebook 14 CB3-431-C5XK,14.0,1920,1080,Matte,0,Intel Celeron,Intel Celeron N3060 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD,Chrome OS,Chrome OS,4,32,32,3.42,185.83,214.77
322,23606,"Acer Nitro 5 15.6 Inch (Intel Core i5-7300HQ 2.50GHz, 8GB DDR4 , 256GB SSD,Red Backlit Keyboard, WiFi, Windows 10)",Acer,Acer Nitro 5,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-7300HQ 2.5 GHz (7th gen Kaby Lake Quad-Core),0.0,1,NVIDIA GeForce GTX 1050 Ti,Windows,Windows 10 Home,8,256,256,5.95,705.98,748.0
36,26778,"Acer Predator Triton 500 Thin & Light Gaming Laptop, Intel Core i7-8750H, GeForce RTX 2060 with 6GB, 15.6"" Full HD 144Hz 3ms IPS Display, 16GB DDR4, 512GB PCIe NVMe SSD, RGB Keyboard, PT515-51-71VV",Acer,Acer Predator Triton 500 PT515-51,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce RTX 2060,Windows,Windows 10 Home,16,512,512,4.41,1637.0,1652.6
31,12766,Samsung Chromebook Plus Convertible Touch Laptop (XE513C24-K01US),Samsung,Samsung Chromebook Plus XE513C24-K01US,12.3,2400,1600,Glossy,1,OP1,OP1 2.0 GHz (Hexa-Core),0.0,0,,Chrome OS,Chrome OS,4,32,32,2.38,559.0,584.97
225,22982,Microsoft Surface Laptop - 13.5â€ - Core m3 - 4GB Ram - 128GB SSD - Platinum,Microsoft,Microsoft Surface Laptop,13.5,2256,1504,Glossy,1,Intel Core m3,Intel Core m3-7Y30 1.0 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 615,Windows,Windows 10 S,4,128,128,2.76,550.0,640.0
179,19152,"Dell Inspiron 15 7000 2-in-1 I7579-0028GRY - 15.6"" FHD Touch - 7th Gen i5-7200U - 8GB - 256GB SSD - Gray",Dell,Dell Inspiron 15 7000 2-in-1,15.6,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10 Home,8,256,256,4.83,648.99,648.99
197,28337,"Dell Inspiron 15 5000 Laptop Computer: Core i7-8550U, 128GB SSD + 1TB HDD, 8GB RAM, 15.6-inch Full HD Display, Backlit Keyboard, Windows 10",Dell,Dell Inspiron 5000,15.6,1920,1080,Glossy,0,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,128,1128,4.8,730.0,730.0
504,20733,"2018 Lenovo ideapad 320 15.6"" LED-backlit Display Laptop, Intel Celeron N3350 Dual-Core Processor, 4GB RAM, 1TB HDD, DVD-RW, WIFI, Bluetooth, HDMI, Intel HD Graphics 500, Windows 10, Purple",Lenovo,Lenovo IdeaPad 320,15.6,1366,768,Matte,0,Intel Celeron,Intel Celeron N3350 1.1 GHz (Apollo Lake Dual-Core),0.0,0,Intel HD 500,Windows,Windows 10 Home,4,0,1000,4.85,299.99,342.0
469,20091,"ASUS ZenBook 14 Thin and Light Laptop - 14â€ Full HD WideView, 8th gen Core i7-8550U Processor, 16GB DDR3, 512GB SSD, Backlit KB, Fingerprint Reader, Grey, Windows 10 Home - UX430UA-DH74",Asus,Asus ZenBook UX430UA,14.0,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,16,512,512,2.76,1024.14,1024.14
413,30067,"Prostar P950RF 15.6 Inches FHD 144Hz, Intel i7-9750H, RTX 2070, 32GB 2666Mhz DDR4, 1TB NVMe SSD, 1TB SSHD, Windows 10 Home, Thin Gaming Laptop, 1-Year Warranty",Other,Prostar P950RF,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-9750H 2.6 GHz (9th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce RTX 2070,Windows,Windows 10 Home,32,1000,2000,4.6,1829.0,1929.0
77,26144,"Lenovo IdeaPad 330 15.6"" HD Business Laptop, Intel Dual-Core i3-8130U Up to 3.4GHz (Beat i5-7200U), 8GB DDR4, 1TB HDD, 802.11ac, Bluetooth, HDMI, Windows 10",Lenovo,Lenovo IdeaPad 330,15.6,1366,768,Matte,0,Intel Core i3,Intel Core i3-8130U 2.2 GHz (8th gen Kaby Lake R Dual-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,0,1000,4.85,373.91,399.0
442,21462,"2018 HP Business 15.6-inch HD Touchscreen Laptop PC, Quad-Core AMD A12 Processor up to 3.6GHz, 8GB DDR4 SDRAM, 1TB HDD, Webcam, HDMI, DVDÂ±RW, AMD Radeon R7 graphics, DTS Studio Sound, Windows 10",HP,HP,15.6,1366,768,Glossy,1,AMD A12,AMD A12-9720P 2.7 GHz (7th gen Bristol Ridge Quad-Core),0.0,0,AMD Radeon R7,Windows,Windows 10 Home,8,0,1000,4.52,528.9,532.39
452,26780,"Samsung Chromebook Plus V2, 2-in-1, Intel Core m3, 4GB RAM, 64GB eMMC, 13MP Camera, Chrome OS, 12.2"", 16:10 Aspect Ratio, Light Titan (XE520QAB-K02US)",Samsung,Samsung Chromebook Plus V2,12.2,1920,1200,Glossy,1,Intel Core m3,Intel Core m3-7Y30 1.0 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 615,Chrome OS,Chrome OS,4,64,64,2.98,433.25,458.99
93,28481,"Lenovo Thinkpad E590 15.6"" HD Business Laptop (Intel Quad Core i5-8265U, 16GB DDR4 Memory, 512GB PCIe 3.0(x4) NVMe SSD M.2 SSD) Type-C, HDMI, Ethernet, Webcam, Windows 10 Professional",Lenovo,Lenovo ThinkPad E590,15.6,1366,768,Matte,0,Intel Core i5,Intel Core i5-8265U 1.6 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Pro,16,512,512,4.68,768.99,819.95
196,10369,Asus Transformer Book Flip Tp200sa-uhbf Signature Edition 2 in 1 Pc,Asus,Asus Transformer Book Flip Tp200sa-uhbf,11.6,1366,768,Glossy,1,Intel Celeron,Intel Celeron N3050 1.6 GHz (Braswell Dual-Core),0.0,0,Intel HD,Windows,Windows 10,2,32,32,2.6,219.72,219.72
